id,auto_corrected_style,auto_corrected_pass,selection_time_s,total_time_s,direct_pass,cot_pass
HumanEval/124,typed,True,5.637675762176514,16.060252904891968,False,False
HumanEval/125,typed,False,4.136017322540283,5.884797096252441,False,False
HumanEval/126,typed,False,5.038453102111816,13.302011966705322,False,False
HumanEval/127,typed,False,5.646835088729858,26.286644220352173,False,False
HumanEval/128,tdd,False,3.7768189907073975,22.261306047439575,False,False
HumanEval/129,decompose,False,6.522049903869629,7.101625919342041,False,False
HumanEval/130,defensive,False,5.245588064193726,13.398638010025024,False,False
HumanEval/131,typed,False,3.3158140182495117,21.45996332168579,False,False
HumanEval/132,typed,False,3.6481549739837646,6.537673234939575,False,False
HumanEval/133,expert,False,3.8042852878570557,4.455452919006348,False,False
HumanEval/134,typed,False,4.146222829818726,22.39815092086792,False,False
HumanEval/135,typed,False,3.6249847412109375,4.873929262161255,False,False
HumanEval/136,typed,False,3.287458658218384,21.832573175430298,False,True
HumanEval/137,efficient,False,4.097660064697266,22.65619993209839,False,False
HumanEval/138,efficient,False,3.3945746421813965,5.624017000198364,False,False
HumanEval/139,typed,False,3.67553973197937,5.243619203567505,False,False
HumanEval/140,typed,False,3.2701761722564697,6.173017263412476,False,False
HumanEval/141,typed,False,5.080371141433716,8.238502740859985,False,False
HumanEval/142,tdd,False,4.620669364929199,7.560373067855835,False,False
HumanEval/143,typed,True,3.41664981842041,9.36275577545166,False,False
HumanEval/144,tdd,True,4.338511228561401,6.770895004272461,False,True
HumanEval/145,simple,False,3.9073450565338135,23.76386594772339,False,False
HumanEval/146,simple,False,4.0829689502716064,24.170387983322144,False,False
HumanEval/147,careful,True,4.646193981170654,9.610834836959839,False,True
HumanEval/148,tdd,False,4.971888065338135,7.932001113891602,False,False
HumanEval/149,tdd,False,4.615139722824097,23.448904037475586,False,False
HumanEval/150,typed,True,3.5501184463500977,7.937949180603027,False,False
HumanEval/151,typed,False,4.062080383300781,7.507184743881226,False,False
HumanEval/152,defensive,True,4.97528076171875,7.629082202911377,True,True
HumanEval/153,defensive,False,5.706404685974121,25.237093925476074,False,False
HumanEval/154,simple,False,4.0385520458221436,5.53590989112854,False,False
HumanEval/155,simple,False,3.287000894546509,21.13216996192932,False,False
HumanEval/156,efficient,False,3.671724796295166,21.949270009994507,False,True
HumanEval/157,tdd,False,3.768371105194092,4.9457690715789795,False,False
HumanEval/158,typed,False,3.837407112121582,8.473574876785278,False,False
HumanEval/159,defensive,True,5.907310247421265,7.192980766296387,False,False
HumanEval/160,efficient,False,4.018782138824463,4.46514892578125,False,False
HumanEval/161,typed,False,3.925203323364258,6.823994159698486,False,False
HumanEval/162,efficient,False,3.6760807037353516,23.021517753601074,False,False
HumanEval/163,simple,False,3.6966803073883057,6.8968400955200195,False,False
