id,auto_corrected_style,auto_corrected_pass,selection_time_s,total_time_s,direct_pass,cot_pass
HumanEval/132,typed,False,3.4084300994873047,6.372410774230957,False,False
HumanEval/133,tdd,False,3.873457193374634,8.814160108566284,False,False
HumanEval/134,typed,False,4.003789901733398,22.360642671585083,False,False
HumanEval/135,defensive,False,3.5513641834259033,22.165120124816895,False,False
HumanEval/136,typed,False,3.656991720199585,22.139645099639893,False,True
HumanEval/137,efficient,False,4.086803913116455,22.53882622718811,False,False
HumanEval/138,efficient,False,3.352461099624634,5.38127589225769,False,False
HumanEval/139,typed,False,3.5125129222869873,5.062744140625,False,False
HumanEval/140,typed,False,3.268115997314453,6.167119979858398,False,False
HumanEval/141,typed,False,5.058417558670044,8.196940183639526,False,False
HumanEval/142,tdd,False,4.447142839431763,6.97369384765625,False,False
HumanEval/143,typed,True,3.42301607131958,8.693214893341064,False,False
HumanEval/144,efficient,True,4.283828973770142,6.657073020935059,False,True
HumanEval/145,typed,False,3.740788221359253,6.308465957641602,False,False
HumanEval/146,efficient,False,3.985974073410034,22.662989616394043,False,False
HumanEval/147,tdd,True,4.524738788604736,8.062340021133423,False,True
HumanEval/148,defensive,False,4.966787099838257,8.324975728988647,False,False
HumanEval/149,simple,False,4.602765083312988,5.865247964859009,False,False
HumanEval/150,typed,True,3.433223247528076,7.45786190032959,False,False
HumanEval/151,typed,False,4.084705114364624,7.516046762466431,False,False
HumanEval/152,decompose,True,4.822333097457886,6.7822771072387695,True,True
HumanEval/153,decompose,False,5.675263166427612,24.65781593322754,False,False
HumanEval/154,tdd,True,3.943141222000122,5.67717719078064,False,False
HumanEval/155,efficient,False,3.2974579334259033,21.463111877441406,False,False
HumanEval/156,efficient,False,3.643497943878174,21.81904911994934,False,True
HumanEval/157,decompose,False,3.653536796569824,21.979769945144653,False,False
HumanEval/158,tdd,True,3.8482372760772705,6.753985166549683,False,False
HumanEval/159,tdd,False,5.257642030715942,6.674317836761475,False,False
HumanEval/160,typed,False,3.8293960094451904,4.334554195404053,False,False
HumanEval/161,decompose,False,3.7238097190856934,4.733745098114014,False,False
HumanEval/162,efficient,False,3.418902635574341,21.80868697166443,False,False
HumanEval/163,defensive,False,3.6769630908966064,22.09259581565857,False,False
